digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=1 MDB_SHIFT_CHUNK_MB=64 MN_T_CHUNK_MB=64 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    95.08 s   (bs 29.5 + 10dP 0.0 + dm 56.7 + T1 0.1 + dc 2.6 + T2 0.0 = 88.8; init 6.3; other 0.0); VmHWM 22.5 GB | device 51.8 GB (per process, 4 processes on one node; max in use 51.8, peak live 10.0) VERIFY tag=p4_d1_both64_r1
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=1 MDB_SHIFT_CHUNK_MB=64 MN_T_CHUNK_MB=64 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    75.33 s   (bs 23.4 + 10dP 0.0 + dm 43.3 + T1 0.1 + dc 2.4 + T2 0.0 = 69.2; init 6.1; other 0.0); VmHWM 22.5 GB | device 51.8 GB (per process, 4 processes on one node; max in use 51.8, peak live 10.0) VERIFY tag=p4_d1_both64_r2
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=1 MDB_SHIFT_CHUNK_MB=1024 MN_T_CHUNK_MB=1024 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    76.19 s   (bs 24.0 + 10dP 0.0 + dm 43.4 + T1 0.1 + dc 2.5 + T2 0.0 = 69.9; init 6.3; other 0.0); VmHWM 24.8 GB | device 52.4 GB (per process, 4 processes on one node; max in use 52.4, peak live 10.0) VERIFY tag=p4_d1_both_r1
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=1 MDB_SHIFT_CHUNK_MB=1024 MN_T_CHUNK_MB=1024 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    87.00 s   (bs 26.5 + 10dP 0.0 + dm 51.8 + T1 0.1 + dc 2.5 + T2 0.0 = 81.0; init 6.1; other 0.0); VmHWM 24.8 GB | device 52.4 GB (per process, 4 processes on one node; max in use 52.4, peak live 10.0) VERIFY tag=p4_d1_both_r2
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=1 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    83.20 s   (bs 22.6 + 10dP 0.0 + dm 51.0 + T1 0.1 + dc 2.4 + T2 0.0 = 76.0; init 7.2; other 0.0); VmHWM 24.8 GB | device 52.4 GB (per process, 4 processes on one node; max in use 52.4, peak live 10.0) identical tag=p4_d1_off_r1
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=1 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    75.43 s   (bs 22.3 + 10dP 0.0 + dm 44.4 + T1 0.1 + dc 2.5 + T2 0.0 = 69.3; init 6.1; other 0.0); VmHWM 24.8 GB | device 52.4 GB (per process, 4 processes on one node; max in use 52.4, peak live 10.0) VERIFY tag=p4_d1_off_r2
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=1 MDB_SHIFT_CHUNK_MB=1024 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    77.65 s   (bs 21.8 + 10dP 0.0 + dm 45.4 + T1 0.1 + dc 2.6 + T2 0.0 = 69.9; init 7.8; other 0.0); VmHWM 24.8 GB | device 52.4 GB (per process, 4 processes on one node; max in use 52.4, peak live 10.0) VERIFY tag=p4_d1_shift_r1
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=1 MDB_SHIFT_CHUNK_MB=1024 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    82.58 s   (bs 27.7 + 10dP 0.0 + dm 46.3 + T1 0.1 + dc 2.6 + T2 0.0 = 76.7; init 5.9; other 0.0); VmHWM 24.8 GB | device 52.4 GB (per process, 4 processes on one node; max in use 52.4, peak live 10.0) VERIFY tag=p4_d1_shift_r2
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=2 MDB_SHIFT_CHUNK_MB=1024 MN_T_CHUNK_MB=1024 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    84.34 s   (bs 27.1 + 10dP 0.0 + dm 48.1 + T1 0.1 + dc 2.4 + T2 0.0 = 77.7; init 6.7; other 0.0); VmHWM 24.8 GB | device 52.5 GB (per process, 4 processes on one node; max in use 52.5, peak live 10.0) VERIFY tag=p4_d2_both_r1
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=2 MDB_SHIFT_CHUNK_MB=1024 MN_T_CHUNK_MB=1024 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    78.86 s   (bs 25.0 + 10dP 0.0 + dm 45.1 + T1 0.1 + dc 2.6 + T2 0.0 = 72.8; init 6.1; other 0.0); VmHWM 24.8 GB | device 52.4 GB (per process, 4 processes on one node; max in use 52.4, peak live 10.0) VERIFY tag=p4_d2_both_r2
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=2 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    69.21 s   (bs 20.8 + 10dP 0.0 + dm 39.4 + T1 0.1 + dc 2.6 + T2 0.0 = 62.9; init 6.3; other 0.0); VmHWM 24.8 GB | device 52.4 GB (per process, 4 processes on one node; max in use 52.4, peak live 10.0) identical tag=p4_d2_off_r1
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=2 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    78.95 s   (bs 27.8 + 10dP 0.0 + dm 42.5 + T1 0.1 + dc 2.5 + T2 0.0 = 72.8; init 6.2; other 0.0); VmHWM 24.8 GB | device 52.4 GB (per process, 4 processes on one node; max in use 52.4, peak live 10.0) VERIFY tag=p4_d2_off_r2
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=2 MDB_SHIFT_CHUNK_MB=1024 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    68.19 s   (bs 20.7 + 10dP 0.0 + dm 39.3 + T1 0.1 + dc 2.4 + T2 0.0 = 62.5; init 5.7; other 0.0); VmHWM 24.8 GB | device 52.4 GB (per process, 4 processes on one node; max in use 52.4, peak live 10.0) VERIFY tag=p4_d2_shift_r1
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=2 MDB_SHIFT_CHUNK_MB=1024 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    76.99 s   (bs 23.5 + 10dP 0.0 + dm 44.6 + T1 0.1 + dc 2.5 + T2 0.0 = 70.7; init 6.3; other 0.0); VmHWM 24.8 GB | device 52.4 GB (per process, 4 processes on one node; max in use 52.4, peak live 10.0) VERIFY tag=p4_d2_shift_r2
digits=40000000000 size=1 RNS_STRATEGY=B4 ECALC_PLANE_CAP=2^30 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    77.67 s   (bs 31.9 + 10dP 0.1 + dm 32.8 + T1 0.0 + dc 0.0 + T2 0.0 = 64.8; init 12.9; other 0.0); VmHWM 12.1 GB | device 184.9 GB (max in use 184.9) VERIFY tag=s1_B4_2_30_r1
digits=40000000000 size=1 RNS_STRATEGY=B4 ECALC_PLANE_CAP=2^30 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    75.98 s   (bs 32.3 + 10dP 0.1 + dm 32.8 + T1 0.0 + dc 0.0 + T2 0.0 = 65.2; init 10.8; other 0.0); VmHWM 12.1 GB | device 184.9 GB (max in use 184.9) VERIFY tag=s1_B4_2_30_r2
digits=40000000000 size=1 RNS_STRATEGY=B4 ECALC_PLANE_CAP=2^30 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    77.13 s   (bs 32.4 + 10dP 0.1 + dm 32.8 + T1 0.0 + dc 0.0 + T2 0.0 = 65.3; init 11.8; other 0.0); VmHWM 12.1 GB | device 184.9 GB (max in use 184.9) VERIFY tag=s1_B4_2_30_r3
digits=40000000000 size=1 RNS_STRATEGY=B4 ECALC_PLANE_CAP=2^31 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    64.34 s   (bs 28.0 + 10dP 0.1 + dm 19.4 + T1 0.0 + dc 0.0 + T2 0.0 = 47.5; init 16.9; other 0.0); VmHWM 12.1 GB | device 236.0 GB (max in use 296.1) VERIFY tag=s1_B4_2_31_r1
digits=40000000000 size=1 RNS_STRATEGY=B4 ECALC_PLANE_CAP=2^31 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    65.47 s   (bs 27.2 + 10dP 0.1 + dm 19.5 + T1 0.0 + dc 0.0 + T2 0.0 = 46.7; init 18.8; other 0.0); VmHWM 12.1 GB | device 236.0 GB (max in use 296.1) VERIFY tag=s1_B4_2_31_r2
digits=40000000000 size=1 RNS_STRATEGY=B4 ECALC_PLANE_CAP=2^31 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    64.15 s   (bs 27.0 + 10dP 0.1 + dm 19.6 + T1 0.0 + dc 0.0 + T2 0.0 = 46.6; init 17.5; other 0.0); VmHWM 12.1 GB | device 236.0 GB (max in use 296.1) VERIFY tag=s1_B4_2_31_r3
digits=40000000000 size=1 RNS_STRATEGY=B4 ECALC_PLANE_CAP=3*2^29 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    68.39 s   (bs 29.1 + 10dP 0.1 + dm 24.7 + T1 0.0 + dc 0.0 + T2 0.0 = 53.9; init 14.5; other 0.0); VmHWM 12.2 GB | device 202.1 GB (max in use 247.2) VERIFY tag=s1_B4_3_2_29_r11
digits=40000000000 size=1 RNS_STRATEGY=B4 ECALC_PLANE_CAP=3*2^29 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    67.28 s   (bs 26.9 + 10dP 0.1 + dm 24.5 + T1 0.0 + dc 0.0 + T2 0.0 = 51.4; init 15.9; other 0.0); VmHWM 12.1 GB | device 202.1 GB (max in use 247.2) VERIFY tag=s1_B4_3_2_29_r12
digits=40000000000 size=1 RNS_STRATEGY=B4 ECALC_PLANE_CAP=3*2^29 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    67.97 s   (bs 29.4 + 10dP 0.1 + dm 24.8 + T1 0.0 + dc 0.0 + T2 0.0 = 54.3; init 13.7; other 0.0); VmHWM 12.1 GB | device 202.1 GB (max in use 247.2) VERIFY tag=s1_B4_3_2_29_r13
digits=40000000000 size=1 RNS_STRATEGY=B4 ECALC_PLANE_CAP=3*2^30 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    63.87 s   (bs 28.7 + 10dP 0.1 + dm 17.1 + T1 0.0 + dc 0.0 + T2 0.0 = 45.9; init 17.9; other 0.0); VmHWM 12.1 GB | device 287.5 GB (max in use 377.7) VERIFY tag=s1_B4_3_2_30_r1
digits=40000000000 size=1 RNS_STRATEGY=B4 ECALC_PLANE_CAP=3*2^30 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    63.15 s   (bs 28.0 + 10dP 0.1 + dm 17.1 + T1 0.0 + dc 0.0 + T2 0.0 = 45.2; init 17.9; other 0.0); VmHWM 12.1 GB | device 287.5 GB (max in use 377.7) VERIFY tag=s1_B4_3_2_30_r12
digits=40000000000 size=1 RNS_STRATEGY=B4 ECALC_PLANE_CAP=3*2^30 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    65.76 s   (bs 27.2 + 10dP 0.1 + dm 17.2 + T1 0.0 + dc 0.0 + T2 0.0 = 44.5; init 21.3; other 0.0); VmHWM 12.1 GB | device 287.5 GB (max in use 377.7) VERIFY tag=s1_B4_3_2_30_r13
digits=40000000000 size=1 RNS_STRATEGY=C ECALC_PLANE_CAP=2^30 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    78.87 s   (bs 31.9 + 10dP 0.1 + dm 34.3 + T1 0.0 + dc 0.0 + T2 0.0 = 66.3; init 12.6; other 0.0); VmHWM 12.2 GB | device 184.9 GB (max in use 184.9) VERIFY tag=s1_C_2_30_r1
digits=40000000000 size=1 RNS_STRATEGY=C ECALC_PLANE_CAP=2^30 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    78.69 s   (bs 32.3 + 10dP 0.1 + dm 34.4 + T1 0.0 + dc 0.0 + T2 0.0 = 66.8; init 11.9; other 0.0); VmHWM 12.1 GB | device 184.9 GB (max in use 184.9) VERIFY tag=s1_C_2_30_r2
digits=40000000000 size=1 RNS_STRATEGY=C ECALC_PLANE_CAP=2^30 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    80.10 s   (bs 31.9 + 10dP 0.1 + dm 34.2 + T1 0.0 + dc 0.0 + T2 0.0 = 66.2; init 13.9; other 0.0); VmHWM 12.1 GB | device 184.9 GB (max in use 184.9) VERIFY tag=s1_C_2_30_r3
